Header,internal_code
fig|562.29167.peg.1452,kpsD_1
fig|197.22133.peg.1601,kpsD_2
fig|159272.2187.peg.40,kpsD_3
fig|2212467.755.peg.2291,kpsD_4
fig|1898104.2911.peg.131,kpsD_5
fig|488545.18.peg.1521,kpsD_6
fig|1913988.3422.peg.1339,kpsD_7
fig|197.22166.peg.1689,kpsD_8
fig|28116.1918.peg.3291,kpsD_9
fig|2301481.4977.peg.2210,kpsD_10
fig|159272.4082.peg.1756,kpsD_11
fig|2498093.760.peg.1428,kpsD_12
fig|201.217.peg.580,kpsD_13
fig|197.25598.peg.1318,kpsD_14
fig|2689616.431.peg.380,kpsD_15
fig|821.6366.peg.1945,kpsD_16
fig|195042.21.peg.457,kpsD_17
fig|197.24274.peg.887,kpsD_18
fig|2735750.3.peg.740,kpsD_19
fig|821.4850.peg.3305,kpsD_20
fig|2030927.1470.peg.245,kpsD_21
fig|1909293.58.peg.2968,kpsD_22
fig|29523.285.peg.4249,kpsD_23
fig|3374182.3.peg.2146,kpsD_24
fig|35833.537.peg.698,kpsD_25
fig|1940288.222.peg.4305,kpsD_26
fig|28258.56.peg.3349,kpsD_27
fig|2212467.1799.peg.1333,kpsD_28
fig|239.558.peg.2783,kpsD_29
fig|821.6696.peg.1651,kpsD_30
fig|2161820.3.peg.2392,kpsD_31
fig|2785080.3.peg.1584,kpsD_32
fig|562.78229.peg.3186,kpsD_33
fig|35818.27.peg.712,kpsD_34
fig|998088.4.peg.1549,kpsD_35
fig|2742629.3.peg.713,kpsD_36
fig|1278302.3.peg.3292,kpsD_37
fig|821.4017.peg.578,kpsD_38
fig|28116.178.peg.2783,kpsD_39
fig|935222.4.peg.2475,kpsD_40
fig|2742616.3.peg.172,kpsD_41
fig|820.7258.peg.1997,kpsD_42
fig|1850254.3.peg.2337,kpsD_43
fig|298701.3.peg.1710,kpsD_44
fig|1381081.8.peg.1061,kpsD_45
fig|1267424.3.peg.201,kpsD_46
fig|57489.4.peg.5859,kpsD_47
fig|2774130.3.peg.631,kpsD_48
fig|1948558.3.peg.238,kpsD_49
fig|2053492.24.peg.3496,kpsD_50
fig|644.1354.peg.822,kpsD_51
fig|1476959.3.peg.1897,kpsD_52
fig|573570.3.peg.1678,kpsD_53
fig|2077146.3.peg.4008,kpsD_54
fig|1913989.231.peg.1138,kpsD_55
fig|197.20966.peg.1563,kpsD_56
fig|28258.18.peg.371,kpsD_57
fig|645.645.peg.1819,kpsD_58
fig|2800584.4.peg.1158,kpsD_59
fig|1952482.3.peg.624,kpsD_60
fig|413497.28.peg.3288,kpsD_61
fig|2136172.3.peg.23,kpsD_62
fig|1031542.8.peg.406,kpsD_63
fig|159272.609.peg.157,kpsD_64
fig|370804.898.peg.1319,kpsD_65
fig|1904254.13.peg.4117,kpsD_66
tr|A0A0M7B9B8|A0A0M7B9B8_9RHOB,kpsD_67
fig|28110.31.peg.117,kpsD_68
fig|181674.301.peg.1858,kpsD_69
fig|197.20897.peg.343,kpsD_70
fig|839.91.peg.4208,kpsD_71
fig|2212467.1646.peg.1863,kpsD_72
fig|1411316.76.peg.4111,kpsD_73
fig|162156.1571.peg.759,kpsD_74
fig|820.6878.peg.1630,kpsD_75
fig|105751.45.peg.1807,kpsD_76
fig|387090.280.peg.2762,kpsD_77
fig|59823.2526.peg.528,kpsD_78
fig|159272.3435.peg.1918,kpsD_79
fig|162156.1465.peg.1640,kpsD_80
fig|1283315.71.peg.1733,kpsD_81
fig|3034334.5.peg.7323,kpsD_82
fig|2049043.66.peg.1086,kpsD_83
fig|817.2882.peg.1287,kpsD_84
fig|821.6005.peg.3893,kpsD_85
fig|1891238.1999.peg.3410,kpsD_86
fig|3139144.3.peg.509,kpsD_87
fig|1382803.27.peg.866,kpsD_88
fig|1869227.8615.peg.2161,kpsD_89
fig|562.152635.peg.1606,kpsD_90
fig|821.6540.peg.3164,kpsD_91
fig|2052148.427.peg.247,kpsD_92
fig|194844.758.peg.1517,kpsD_93
fig|654.676.peg.3309,kpsD_94
fig|167968.215.peg.1190,kpsD_95
fig|28141.1251.peg.3341,kpsD_96
fig|363265.374.peg.520,kpsD_97
