Header,internal_code
tr|O51865|O51865_ECOLX,kpsT_1
sp|P23888|KPST1_ECOLX,kpsT_2
fig|195.720.peg.16,kpsT_3
fig|1234668.3.peg.2407,kpsT_4
fig|382.360.peg.4086,kpsT_5
fig|404433.4.peg.1874,kpsT_6
fig|257708.14.peg.918,kpsT_7
fig|160699.3.peg.321,kpsT_8
fig|562.143049.peg.4927,kpsT_9
fig|3096165.3.peg.1621,kpsT_10
fig|1913988.2360.peg.3361,kpsT_11
fig|106592.97.peg.4239,kpsT_12
fig|1572645.19.peg.22,kpsT_13
fig|1948890.163.peg.2801,kpsT_14
fig|1913989.618.peg.1420,kpsT_15
fig|3095342.3.peg.1109,kpsT_16
fig|197.21937.peg.796,kpsT_17
fig|2890317.20.peg.2441,kpsT_18
fig|1948890.168.peg.74,kpsT_19
fig|195.855.peg.13,kpsT_20
fig|1904441.1379.peg.1215,kpsT_21
fig|1382803.27.peg.1050,kpsT_22
fig|472.267.peg.966,kpsT_23
fig|1736690.5.peg.1215,kpsT_24
fig|2587057.3.peg.649,kpsT_25
fig|1869190.223.peg.3543,kpsT_26
fig|293400.119.peg.2509,kpsT_27
fig|2689618.35.peg.2854,kpsT_28
fig|50259.253.peg.2007,kpsT_29
fig|195.996.peg.1493,kpsT_30
fig|1871086.313.peg.1522,kpsT_31
fig|3388663.3.peg.2928,kpsT_32
fig|948519.76.peg.888,kpsT_33
fig|34034.415.peg.1992,kpsT_34
fig|2015799.263.peg.950,kpsT_35
fig|91750.4620.peg.2579,kpsT_36
fig|153809.1412.peg.6358,kpsT_37
fig|562.58171.peg.541,kpsT_38
fig|517719.53.peg.282,kpsT_39
fig|293958.16.peg.3956,kpsT_40
fig|1872442.5.peg.157,kpsT_41
fig|159733.154.peg.298,kpsT_42
fig|152480.10.peg.872,kpsT_43
fig|2663379.4.peg.847,kpsT_44
fig|1449788.3.peg.244,kpsT_45
fig|729.41.peg.1998,kpsT_46
fig|87883.120.peg.3358,kpsT_47
fig|1049.8.peg.1649,kpsT_48
fig|366534.3.peg.3564,kpsT_49
fig|936889.3.peg.3115,kpsT_50
fig|404875.3.peg.3471,kpsT_51
fig|2720031.3.peg.1210,kpsT_52
fig|292.11.peg.2528,kpsT_53
fig|589873.31.peg.2998,kpsT_54
fig|1452450.3.peg.1536,kpsT_55
fig|1211.100.peg.2871,kpsT_56
fig|1892897.4.peg.3100,kpsT_57
fig|480.217.peg.1729,kpsT_58
fig|2676298.3.peg.7189,kpsT_59
fig|1176243.5.peg.320,kpsT_60
fig|2706882.3.peg.961,kpsT_61
fig|748653.3.peg.704,kpsT_62
fig|2509717.3.peg.203,kpsT_63
fig|2676290.3.peg.5931,kpsT_64
fig|1244108.3.peg.1572,kpsT_65
fig|56799.14.peg.3619,kpsT_66
fig|562.34406.peg.4565,kpsT_67
fig|243956.3.peg.1613,kpsT_68
fig|1196095.393.peg.2067,kpsT_69
fig|1903261.34.peg.1481,kpsT_70
fig|1909294.759.peg.5543,kpsT_71
fig|2911528.3.peg.1066,kpsT_72
fig|2480087.4.peg.5550,kpsT_73
fig|1913989.3018.peg.10,kpsT_74
fig|1903157.11.peg.4818,kpsT_75
fig|51048.14.peg.1064,kpsT_76
fig|1948890.80.peg.1038,kpsT_77
fig|1978525.203.peg.2940,kpsT_78
fig|258256.6.peg.461,kpsT_79
fig|28258.17.peg.2551,kpsT_80
fig|382.386.peg.772,kpsT_81
fig|1072516.54.peg.3432,kpsT_82
fig|173975.12.peg.3241,kpsT_83
fig|1033846.25.peg.1481,kpsT_84
fig|2854779.3.peg.4998,kpsT_85
fig|2762612.3.peg.745,kpsT_86
fig|269237.27.peg.2347,kpsT_87
fig|536.87.peg.4719,kpsT_88
fig|28199.26.peg.1564,kpsT_89
fig|1812935.383.peg.4150,kpsT_90
fig|1977087.3392.peg.6293,kpsT_91
fig|2917739.7.peg.823,kpsT_92
fig|1977087.3445.peg.327,kpsT_93
fig|1912891.101.peg.1246,kpsT_94
fig|1909294.650.peg.367,kpsT_95
fig|34028.93.peg.1925,kpsT_96
fig|2993579.3.peg.3615,kpsT_97
fig|83655.393.peg.2474,kpsT_98
fig|83655.317.peg.2069,kpsT_99
