Header,internal_code
tr|Q2KUG9|Q2KUG9_BORA1,neuD_1
tr|Q2S4Y2|Q2S4Y2_SALRD,neuD_2
tr|Q2WBB8|Q2WBB8_PARM1,neuD_3
tr|Q316I6|Q316I6_OLEA2,neuD_4
WP_350695242.1,neuD_5
tr|Q39T66|Q39T66_GEOMG,neuD_6
tr|Q3SPZ2|Q3SPZ2_NITWN,neuD_7
tr|Q46674|Q46674_ECOLX,neuD_8
tr|Q473C7|Q473C7_CUPPJ,neuD_9
fig|126385.106.peg.4255,neuD_10
WP_350652903.1,neuD_11
tr|Q6ASA5|Q6ASA5_DESPS,neuD_12
tr|Q74BR8|Q74BR8_GEOSL,neuD_13
tr|Q7MPP9|Q7MPP9_VIBVY,neuD_14
tr|Q8KIU6|Q8KIU6_PSEAI,neuD_15
tr|Q8NTE3|Q8NTE3_CORGL,neuD_16
tr|A0A140NTZ9|A0A140NTZ9_9FUSO,neuD_17
fig|2902720.34.peg.2994,neuD_18
tr|R5EG21|R5EG21_9FIRM,neuD_19
fig|2764716.3.peg.2690,neuD_20
tr|A0A142EK57|A0A142EK57_9BACT,neuD_21
fig|2282308.3.peg.43,neuD_22
WP_350221006.1,neuD_23
tr|R8AUF4|R8AUF4_PLESH,neuD_24
WP_350220625.1,neuD_25
tr|R9R9I2|R9R9I2_9FUSO,neuD_26
WP_350216432.1,neuD_27
tr|S2DM84|S2DM84_INDAL,neuD_28
tr|S2E640|S2E640_INDAL,neuD_29
tr|A0A142WZ66|A0A142WZ66_9PLAN,neuD_30
tr|A0A2D5AA25|A0A2D5AA25_9PLAN,neuD_31
tr|S3XGF3|S3XGF3_9BACT,neuD_32
tr|S7XFF2|S7XFF2_9FLAO,neuD_33
WP_350147381.1,neuD_34
tr|T0PB04|T0PB04_9CLOT,neuD_35
fig|1307.1935.peg.755,neuD_36
WP_350115129.1,neuD_37
tr|U1LYK7|U1LYK7_9BACL,neuD_38
WP_350072257.1,neuD_39
tr|U5BXE4|U5BXE4_9BACT,neuD_40
fig|2558279.3.peg.323,neuD_41
tr|U5VX62|U5VX62_9ACTN,neuD_42
tr|U6RC06|U6RC06_9BACE,neuD_43
tr|U6RMD8|U6RMD8_9BACE,neuD_44
WP_349922802.1,neuD_45
tr|V6S328|V6S328_9FLAO,neuD_46
tr|V6S662|V6S662_9FLAO,neuD_47
fig|3041253.7.peg.1467,neuD_48
tr|V9H9G5|V9H9G5_9NEIS,neuD_49
tr|W0Q3C2|W0Q3C2_9PAST,neuD_50
tr|W0QDZ3|W0QDZ3_9PAST,neuD_51
tr|W4F6E4|W4F6E4_9BACL,neuD_52
tr|W6K3C9|W6K3C9_9MICO,neuD_53
fig|70125.351.peg.4165,neuD_54
tr|W6K3D4|W6K3D4_9MICO,neuD_55
tr|W7AXS9|W7AXS9_9LIST,neuD_56
fig|3121297.3.peg.1609,neuD_57
WP_349683063.1,neuD_58
