Header,internal_code
fig|562.157232.peg.4194,neuO_1
fig|585057.6.peg.2606,neuO_2
fig|562.98166.peg.2293,neuO_3
fig|562.22746.peg.4291,neuO_4
fig|3382005.3.peg.2148,neuO_5
fig|562.94251.peg.3849,neuO_6
fig|562.139261.peg.161,neuO_7
fig|562.45764.peg.5275,neuO_8
fig|656392.3.peg.2434,neuO_9
fig|562.34336.peg.1699,neuO_10
fig|625.108.peg.1333,neuO_11
tr|A0A7R8NXD6|A0A7R8NXD6_9ACTN,neuO_12
fig|562.23225.peg.1223,neuO_13
fig|562.145377.peg.1197,neuO_14
fig|562.100769.peg.549,neuO_15
fig|562.33174.peg.3682,neuO_16
tr|A0A7U9N441|A0A7U9N441_9FIRM,neuO_17
fig|1903473.9.peg.565,neuO_18
fig|562.16356.peg.802,neuO_19
fig|562.13517.peg.1601,neuO_20
fig|2041646.3.peg.796,neuO_21
fig|562.50875.peg.977,neuO_22
fig|562.51677.peg.401,neuO_23
tr|A0A7U9NDM2|A0A7U9NDM2_9FIRM,neuO_24
fig|562.102264.peg.4944,neuO_25
fig|562.135328.peg.4342,neuO_26
fig|562.33167.peg.2192,neuO_27
fig|562.17329.peg.297,neuO_28
fig|562.46203.peg.1768,neuO_29
fig|562.45369.peg.3044,neuO_30
tr|A0A7U9NHZ3|A0A7U9NHZ3_9FIRM,neuO_31
fig|562.157609.peg.3247,neuO_32
fig|562.156941.peg.2196,neuO_33
fig|2944128.3.peg.3208,neuO_34
fig|562.142790.peg.2795,neuO_35
fig|3050629.3.peg.1731,neuO_36
tr|A0A7U9R6G5|A0A7U9R6G5_9FIRM,neuO_37
fig|562.47050.peg.3500,neuO_38
fig|562.58366.peg.1568,neuO_39
fig|562.37047.peg.5016,neuO_40
fig|562.102143.peg.1552,neuO_41
fig|562.147936.peg.1570,neuO_42
fig|562.46223.peg.2798,neuO_43
tr|A0A7U9RZF7|A0A7U9RZF7_9FIRM,neuO_44
fig|562.50892.peg.2702,neuO_45
fig|562.50945.peg.2677,neuO_46
fig|562.152962.peg.526,neuO_47
fig|562.46237.peg.3197,neuO_48
fig|562.36861.peg.5418,neuO_49
fig|562.30167.peg.1434,neuO_50
fig|562.60263.peg.1179,neuO_51
fig|562.20978.peg.3332,neuO_52
fig|562.147838.peg.1506,neuO_53
fig|562.78269.peg.2382,neuO_54
fig|562.21814.peg.3440,neuO_55
fig|562.47161.peg.2603,neuO_56
fig|993513.3.peg.2427,neuO_57
fig|562.78012.peg.2554,neuO_58
fig|562.58161.peg.2837,neuO_59
fig|1232438.3.peg.860,neuO_60
fig|562.33404.peg.2728,neuO_61
fig|562.68437.peg.2567,neuO_62
fig|562.152964.peg.1648,neuO_63
fig|562.158423.peg.481,neuO_64
fig|562.96285.peg.1529,neuO_65
tr|A0A7U9XHG1|A0A7U9XHG1_9FIRM,neuO_66
fig|562.135300.peg.2558,neuO_67
fig|562.132105.peg.2615,neuO_68
fig|562.144848.peg.2456,neuO_69
fig|562.135260.peg.1837,neuO_70
fig|562.132096.peg.2578,neuO_71
fig|562.46815.peg.4653,neuO_72
fig|562.59138.peg.697,neuO_73
fig|562.141893.peg.271,neuO_74
fig|562.22789.peg.867,neuO_75
tr|A0A9W4KTN8|A0A9W4KTN8_9BACI,neuO_76
fig|562.60269.peg.1462,neuO_77
fig|562.70771.peg.1617,neuO_78
tr|A0A9W4PGE3|A0A9W4PGE3_9BACI,neuO_79
tr|A0A9W4W145|A0A9W4W145_PSEHA,neuO_80
fig|562.100949.peg.267,neuO_81
tr|C3W7V5|C3W7V5_ECOLX,neuO_82
fig|562.96846.peg.4868,neuO_83
tr|C3W7V6|C3W7V6_ECOLX,neuO_84
tr|C3W7V8|C3W7V8_ECOLX,neuO_85
fig|562.61486.peg.3736,neuO_86
fig|562.23748.peg.353,neuO_87
fig|562.21003.peg.1386,neuO_88
fig|562.33389.peg.730,neuO_89
fig|562.65457.peg.889,neuO_90
fig|562.23705.peg.934,neuO_91
ssid:SPSIL_009170,neuO_92
fig|562.99606.peg.268,neuO_93
fig|562.101371.peg.794,neuO_94
fig|562.46835.peg.7,neuO_95
fig|562.61483.peg.3403,neuO_96
nsp:BMF81_04450,neuO_97
fig|562.29088.peg.2544,neuO_98
fig|1499973.70.peg.2028,neuO_99
fig|562.34082.peg.4447,neuO_100
fig|562.133200.peg.540,neuO_101
fig|562.100314.peg.1807,neuO_102
fig|562.123998.peg.3667,neuO_103
tr|A0A3G5DV40|A0A3G5DV40_ECOLX,neuO_104
fig|562.23099.peg.900,neuO_105
fig|562.143916.peg.991,neuO_106
fig|562.47022.peg.3087,neuO_107
fig|2874052.6.peg.3470,neuO_108
fig|562.115253.peg.1132,neuO_109
fig|562.114646.peg.2565,neuO_110
fig|562.111046.peg.1506,neuO_111
fig|562.21141.peg.3317,neuO_112
fig|565.41.peg.3974,neuO_113
fig|3050626.8.peg.1574,neuO_114
fig|405955.13.peg.2573,neuO_115
fig|562.8568.peg.2749,neuO_116
fig|562.68652.peg.3474,neuO_117
fig|562.13516.peg.3038,neuO_118
fig|1072459.4.peg.805,neuO_119
fig|562.115908.peg.1023,neuO_120
fig|562.13510.peg.4673,neuO_121
fig|562.23587.peg.1813,neuO_122
fig|562.122055.peg.1837,neuO_123
sp|Q93S40|OATWY_NEIME,neuO_124
