Header,internal_code
tr|O51864|O51864_ECOLX,kpsM_1
fig|88431.3.peg.1539|ERS852408_01528|,kpsM_2
fig|88431.4.peg.464|ERS852526_00456|,kpsM_3
fig|88431.4.peg.1626|ERS852526_01594|,kpsM_4
fig|88431.6.peg.659|ERS852573_00661|,kpsM_5
fig|88431.833.peg.1087|DLSSTS7063_01355|,kpsM_6
fig|88431.833.peg.2821|DLSSTS7063_02716|,kpsM_7
fig|1406.149.peg.3573|PPOLYM_00813|,kpsM_8
fig|1444042.3.peg.3779|AB03_3727|,kpsM_9
fig|1444044.3.peg.3427|AB05_3566|,kpsM_10
fig|1444052.3.peg.1400|AB13_1422|,kpsM_11
ctu:CTU_06070,kpsM_12
fig|1444073.3.peg.3959|AB34_3609|,kpsM_13
fig|1444123.3.peg.3990|AB88_3587|,kpsM_14
fig|1444129.3.peg.2463|AB94_2541|,kpsM_15
fig|1444132.3.peg.5407|AB97_5677|,kpsM_16
fig|1444198.3.peg.3247|AC63_3370|,kpsM_17
fig|1444220.3.peg.4253|AC85_4019|,kpsM_18
fig|1444265.3.peg.672|AD30_0682|,kpsM_19
fig|1446794.3.peg.937|AS850_04555|,kpsM_20
fig|1463165.93.peg.2722|SAMEA3512071_05014|,kpsM_21
fig|1499973.10.peg.3141|C4A10_02960|,kpsM_22
fig|154046.3.peg.2268|ERS852407_02132|,kpsM_23
fig|158836.712.peg.4662|SAMEA1920554_04660|,kpsM_24
fig|165185.6.peg.252|SAMEA3545338_01654|,kpsM_25
fig|165186.4.peg.443|SAMEA3545226_00288|,kpsM_26
fig|165186.5.peg.261|SAMEA3545254_01525|,kpsM_27
tr|A0A486TRB6|A0A486TRB6_KLEPN,kpsM_28
fig|1735103.3.peg.2759|GCM10011385_26920|,kpsM_29
fig|1074000.9.peg.759|NCTC9529_00642|,kpsM_30
fig|1796497.3.peg.1891|GCE9029_01882|,kpsM_31
tr|A0A6N2ZV87|A0A6N2ZV87_ECOLX,kpsM_32
tr|A0A7M1W0K2|A0A7M1W0K2_VIBPH,kpsM_33
tr|A0A7M1WI37|A0A7M1WI37_VIBPH,kpsM_34
tr|A0A7M1WLG0|A0A7M1WLG0_VIBPH,kpsM_35
tr|A0A7M1WMT2|A0A7M1WMT2_VIBPH,kpsM_36
fig|1116006.3.peg.3487|EC2730450_3341|VBIEscCol239768_3487|,kpsM_37
fig|1116024.3.peg.3540|EC2862600_3391|VBIEscCol232165_3540|,kpsM_38
tr|A0A916RXY4|A0A916RXY4_9HYPH,kpsM_39
fig|1116032.3.peg.3369|EC2871950_3468|VBIEscCol237635_3369|,kpsM_40
fig|196024.257.peg.2668|VAWG005_25410|,kpsM_41
fig|196024.271.peg.1166|VAWG001_11110|,kpsM_42
fig|1116124.3.peg.3475|EC2845350_3461|VBIEscCol231632_3475|,kpsM_43
fig|1116143.3.peg.3578|ECP02989426_3333|VBIEscCol237323_3578|,kpsM_44
ecq:ECED1_3602,kpsM_45
tr|Q8KX84|Q8KX84_AERHY,kpsM_46
fig|1138308.5.peg.3333|ES15_3335|VBICroSak234768_3333|,kpsM_47
fig|1972431.3.peg.2643|PUATCC27989T_05229|,kpsM_48
fig|2005716.3.peg.1352|BMS3Abin08_01166|,kpsM_49
fig|2021391.482.peg.845|KFKLKKLM_01555|,kpsM_50
fig|2045214.11.peg.3150|SRABI122_03124|,kpsM_51
fig|2047724.3.peg.2746|GCM10011513_25870|,kpsM_52
eum:ECUMN_3434,kpsM_53
fig|217204.13.peg.1769|LMG6003_01758|,kpsM_54
fig|244366.258.peg.2985|SAMEA3512087_00303|,kpsM_55
fig|2497740.3.peg.72|XMD543_000009|,kpsM_56
tr|A0AAU9I4L0|A0AAU9I4L0_9XANT,kpsM_57
fig|2607506.3.peg.1595|HALO32_01585|,kpsM_58
fig|2675710.3.peg.4273|WP3W18E02_41360|,kpsM_59
fig|2675726.3.peg.4102|WP8S18E06_39790|,kpsM_60
fig|2681387.3.peg.4220|STW0522KLE44_41090|,kpsM_61
fig|2743.3.peg.2369|MARHY2554|VBIMarHyd236848_2369|,kpsM_62
fig|2746.15.peg.1019|A8U91_00989|,kpsM_63
fig|28095.39.peg.7269|NCTC12378_04290|,kpsM_64
fig|28141.660.peg.3949|NCTC9238_03608|,kpsM_65
fig|28141.673.peg.3731|DC438_18165|,kpsM_66
ect:ECIAI39_3446,kpsM_67
fig|28151.54.peg.2556|SAMEA4857315_02557|,kpsM_68
fig|28151.55.peg.2517|SAMEA4857291_02503|,kpsM_69
fig|28151.56.peg.818|SAMEA4857283_00824|,kpsM_70
fig|2823904.3.peg.4960|KAI36_04813|,kpsM_71
fig|28450.1074.peg.4604|SAMEA2065089_00068|,kpsM_72
fig|28450.163.peg.4360|ERS013362_03562|,kpsM_73
fig|286138.5.peg.979|SAMEA3545334_01055|,kpsM_74
fig|287.6519.peg.6456|NCTC13719_06501|,kpsM_75
fig|2891570.3.peg.2970|G163CM_29260|,kpsM_76
fig|29347.195.peg.2530|GGADHKLB_02510|,kpsM_77
fig|29347.220.peg.2563|CLBADJHJ_02541|,kpsM_78
fig|294.494.peg.3945|NCTC9428_03821|,kpsM_79
fig|2942908.3.peg.112|NURINAE_00114|,kpsM_80
fig|29443.3.peg.5018|NCTC10937_04918|,kpsM_81
fig|29484.13.peg.1050|ERS008531_01020|,kpsM_82
fig|29484.14.peg.3554|ERS008455_03501|,kpsM_83
fig|29484.16.peg.2350|ERS008521_02287|,kpsM_84
fig|29484.18.peg.1576|ERS008549_01527|,kpsM_85
fig|29484.19.peg.2520|ERS008448_02466|,kpsM_86
fig|29484.24.peg.1499|ERS008494_01468|,kpsM_87
fig|300.56.peg.2105|NCTC10898_03094|,kpsM_88
fig|300.59.peg.4663|NCTC10897_04700|,kpsM_89
fig|301302.3.peg.3456|ERS852420_03336|,kpsM_90
fig|316.658.peg.2286|GHA_02275|,kpsM_91
fig|33060.10.peg.1697|ERS008528_01624|,kpsM_92
fig|33060.3.peg.2585|ERS008532_02509|,kpsM_93
fig|33060.7.peg.2552|ERS008443_02468|,kpsM_94
fig|34038.26.peg.2671|SRABI106_02260|,kpsM_95
fig|39482.3.peg.2356|ERS852491_02168|,kpsM_96
fig|39486.180.peg.648|DFSSTS7063_00717|,kpsM_97
fig|39491.36.peg.1326|ERS852497_01324|,kpsM_98
fig|395631.12.peg.718|PDTA9734_06990|,kpsM_99
fig|40324.1486.peg.3179|GAK31_03134|,kpsM_100
fig|40520.4.peg.2232|ERS852395_02152|,kpsM_101
fig|410072.3.peg.1467|ERS852389_01419|,kpsM_102
fig|410072.4.peg.1762|ERS852574_01729|,kpsM_103
fig|411468.41.peg.3782|HDCHBGLK_03633|,kpsM_104
fig|41202.9.peg.3863|NCTC12157_03301|,kpsM_105
fig|418240.3.peg.2121|ERS852523_01971|,kpsM_106
fig|419257.3.peg.2440|ERS008670_02364|,kpsM_107
fig|469008.16.peg.2912|B21_02777|VBIEscCol200999_2912|,kpsM_108
fig|47917.164.peg.5388|SAMEA4857363_05371|,kpsM_109
fig|47917.168.peg.1197|SAMEA4857177_01181|,kpsM_110
fig|47917.176.peg.2488|SAMEA4857184_02442|,kpsM_111
fig|47917.181.peg.4679|SAMEA4857168_04637|,kpsM_112
fig|512314.4.peg.2077|SAMEA3545351_00101|,kpsM_113
fig|548.405.peg.2607|NCTC10006_02508|,kpsM_114
fig|548.415.peg.1575|NCTC9735_01597|,kpsM_115
fig|550.666.peg.4338|SAMEA2273307_04333|,kpsM_116
fig|550.781.peg.3426|SAMEA2273425_03455|,kpsM_117
fig|550.878.peg.5234|SAMEA2273122_05176|,kpsM_118
fig|562.11558.peg.3486|NCTC86EC_03447|,kpsM_119
fig|562.139921.peg.4769|VEE31_45060|,kpsM_120
