Header,internal_code
tr|Q93TI0|Q93TI0_STRAG,neuA_1
tr|Q9ALW4|Q9ALW4_STRAG,neuA_2
fig|2547394.3.peg.2927,neuA_3
fig|723.4.peg.1777,neuA_4
fig|2080527.3.peg.3293,neuA_5
fig|1404768.3.peg.989,neuA_6
fig|562.47524.peg.2527,neuA_7
fig|1739283.44.peg.558,neuA_8
fig|29497.16.peg.4671,neuA_9
fig|2026801.15.peg.5249,neuA_10
fig|208962.293.peg.2261,neuA_11
fig|562.46680.peg.3552,neuA_12
fig|261514.10.peg.3444,neuA_13
fig|2026724.1253.peg.2032,neuA_14
fig|1627892.3.peg.909,neuA_15
fig|585057.6.peg.3573,neuA_16
fig|2793070.3.peg.890,neuA_17
fig|377624.5.peg.1254,neuA_18
fig|210.7806.peg.543,neuA_19
fig|512643.16.peg.2792,neuA_20
tr|A0A010JGZ9|A0A010JGZ9_9GAMM,neuA_21
fig|797277.3.peg.2466,neuA_22
tr|A0A011NPN0|A0A011NPN0_9PROT,neuA_23
tr|A0A013SLX8|A0A013SLX8_9GAMM,neuA_24
fig|1932692.79.peg.1152,neuA_25
fig|1270.34.peg.1516,neuA_26
tr|A0A014MF51|A0A014MF51_9BURK,neuA_27
fig|239.101.peg.1810,neuA_28
fig|562.46147.peg.423,neuA_29
tr|A0A015SRA4|A0A015SRA4_BACFG,neuA_30
tr|A0A015V0E5|A0A015V0E5_BACFG,neuA_31
tr|A0A015X500|A0A015X500_BACFG,neuA_32
tr|A0A015X5H4|A0A015X5H4_BACFG,neuA_33
fig|310297.1023.peg.2725,neuA_34
fig|1050190.10.peg.4199,neuA_35
fig|1898112.87.peg.1121,neuA_36
fig|1667051.819.peg.352,neuA_37
fig|2026760.41.peg.830,neuA_38
tr|A0A016BQJ9|A0A016BQJ9_BACFG,neuA_39
tr|A0A016E304|A0A016E304_BACFG,neuA_40
fig|1391911.11.peg.1646,neuA_41
fig|195.1581.peg.1639,neuA_42
tr|A0A017H6T6|A0A017H6T6_9FUSO,neuA_43
fig|670.854.peg.1782,neuA_44
tr|A0A022KXH0|A0A022KXH0_9MICO,neuA_45
tr|A0A022PH09|A0A022PH09_9GAMM,neuA_46
fig|102232.4.peg.2282,neuA_47
fig|2067991.27.peg.2123,neuA_48
tr|A0A024JXK5|A0A024JXK5_9MYCO,neuA_49
tr|A0A059DQG7|A0A059DQG7_9PROT,neuA_50
fig|2044941.7.peg.2256,neuA_51
tr|A0A060C1P8|A0A060C1P8_9BACT,neuA_52
tr|A0A060I398|A0A060I398_RHIET,neuA_53
tr|A0A060R5V7|A0A060R5V7_9BACT,neuA_54
fig|79329.66.peg.506,neuA_55
tr|A0A060R687|A0A060R687_9BACT,neuA_56
fig|44251.7.peg.5079,neuA_57
tr|A0A060RB26|A0A060RB26_9BACT,neuA_58
tr|A0A062UK26|A0A062UK26_9PROT,neuA_59
tr|A0A066UMH5|A0A066UMH5_9VIBR,neuA_60
