Header,internal_code
tr|A0A139NK06|A0A139NK06_9STRE,neuS_1
tr|A0A4U1W8D6|A0A4U1W8D6_9VIBR,neuS_2
tr|A0A7Z1S2E3|A0A7Z1S2E3_9VIBR,neuS_3
tr|A0A966DI50|A0A966DI50_9BACT,neuS_4
tr|A0A9E5KVX7|A0A9E5KVX7_UNCCL,neuS_5
fig|487.4132.peg.173,neuS_6
fig|487.4872.peg.2454,neuS_7
fig|487.2670.peg.286,neuS_8
fig|487.3834.peg.1801,neuS_9
fig|487.4810.peg.3335,neuS_10
fig|487.2415.peg.2232,neuS_11
AAA20478.1,neuS_12
neuS.p01,neuS_13
fig|487.2566.peg.2558,neuS_14
fig|487.2587.peg.2016,neuS_15
fig|487.4132.peg.172,neuS_16
fig|487.2460.peg.2806,neuS_17
fig|487.3704.peg.2372,neuS_18
AAA24213.1,neuS_19
ecm:EcSMS35_3228,neuS_20
fig|487.2713.peg.1438,neuS_21
ACN54535.1,neuS_22
EEY13283.1,neuS_23
fig|487.3164.peg.1956,neuS_24
fig|487.2586.peg.244,neuS_25
fig|374833.14.peg.156,neuS_26
tr|A0A023CJ62|A0A023CJ62_9BACI,neuS_27
tr|A0A0E1KS63|A0A0E1KS63_CLOBO,neuS_28
tr|A0A0E2L260|A0A0E2L260_ECOU3,neuS_29
tr|A0A0M0HX71|A0A0M0HX71_9VIBR,neuS_30
tr|A0A0P0FMQ0|A0A0P0FMQ0_BACT4,neuS_31
tr|A0A127W2U4|A0A127W2U4_SPOPS,neuS_32
tr|A0A165SDD7|A0A165SDD7_9VIBR,neuS_33
tr|A0A1A6KUY1|A0A1A6KUY1_9VIBR,neuS_34
tr|A0A1D9G9V4|A0A1D9G9V4_MOOP1,neuS_35
tr|A0A1E9PQ22|A0A1E9PQ22_9LACT,neuS_36
tr|A0A1H6H121|A0A1H6H121_9HYPH,neuS_37
tr|A0A1I5S7K8|A0A1I5S7K8_9GAMM,neuS_38
tr|A0A1Q6EAM6|A0A1Q6EAM6_9BACT,neuS_39
tr|A0A1V6LQI7|A0A1V6LQI7_9FLAO,neuS_40
