Header,internal_code
tr|Q9ALW8|Q9ALW8_STRAG,lst_1
fig|1311.257.peg.1904|ERS039684_01945|,lst_2
tr|A0A829IB72|A0A829IB72_STRAG,lst_3
tr|A0AB38VL63|A0AB38VL63_STRAG,lst_4
tr|A3KLL1|A3KLL1_STRAG,lst_5
fig|1311.258.peg.43|ERS039686_00047|,lst_6
fig|1311.269.peg.1395|ERS039639_01398|,lst_7
fig|1311.295.peg.1484|ERS039690_01502|,lst_8
fig|1311.312.peg.18|ERS046909_00018|,lst_9
fig|1311.320.peg.1633|ERS039629_01644|,lst_10
fig|1311.338.peg.1579|ERS039697_01627|,lst_11
fig|1311.343.peg.1542|ERS039702_01548|,lst_12
fig|1307.632.peg.1846|ERS132404_01842|,lst_13
AAK64371.1,lst_14
fig|1898203.3804.peg.6996|CE91St58_64150|,lst_15
fig|1917441.24.peg.2025|GUT183_18890|,lst_16
fig|1917441.25.peg.1928|GUT184_18170|,lst_17
fig|1917441.26.peg.1956|GUT189_18440|,lst_18
fig|1307.695.peg.1268|ERS132370_01279|,lst_19
tr|A0A1N6LYV9|A0A1N6LYV9_STRAG,lst_20
fig|1307.753.peg.1855|ERS132409_01870|,lst_21
fig|1307.915.peg.1561|ERS132453_01580|,lst_22
tr|A0A1Q8EDJ9|A0A1Q8EDJ9_STRAI,lst_23
tr|A0A239SMV2|A0A239SMV2_9STRE,lst_24
tr|A0A822MZ52|A0A822MZ52_9VIBR,lst_25
tr|A0A837NRJ2|A0A837NRJ2_VIBSP,lst_26
fig|1307.949.peg.1664|ERS132402_01684|,lst_27
tr|A5KZV3|A5KZV3_VIBBS,lst_28
tr|Q1G5V4|Q1G5V4_STRAG,lst_29
fig|1311.1504.peg.1193|CHF17_01252|,lst_30
tr|Q93TI4|Q93TI4_STRAG,lst_31
fig|1311.246.peg.1163|RDF_1159|,lst_32
fig|1311.255.peg.1250|ERS046917_01275|,lst_33
fig|726.121.peg.1394,lst_34
fig|726.428.peg.9,lst_35
fig|28037.1774.peg.1734,lst_36
fig|85404.11.peg.1915,lst_37
fig|2052597.7.peg.1165,lst_38
fig|1123502.3.peg.981,lst_39
fig|562.58269.peg.3552,lst_40
fig|1145179.3.peg.1154,lst_41
fig|727.2642.peg.1056,lst_42
fig|487.1577.peg.2113,lst_43
fig|550.1701.peg.286,lst_44
fig|726.136.peg.982,lst_45
fig|1739463.3.peg.1143,lst_46
fig|487.3936.peg.1294,lst_47
fig|1073362.3.peg.1135,lst_48
fig|539.170.peg.1444,lst_49
fig|202948.16.peg.243,lst_50
fig|1869227.928.peg.1457,lst_51
fig|485.13691.peg.1832,lst_52
fig|485.4673.peg.1751,lst_53
fig|747.1921.peg.72,lst_54
fig|487.4431.peg.2137,lst_55
fig|487.4473.peg.2134,lst_56
fig|489.23.peg.413,lst_57
fig|1522312.18.peg.1353,lst_58
fig|485.18447.peg.2089,lst_59
fig|3332597.3.peg.1560,lst_60
fig|2094731.34.peg.876,lst_61
fig|636.141.peg.2328,lst_62
fig|487.1819.peg.1978,lst_63
fig|485.104.peg.1785,lst_64
fig|208962.82.peg.2958,lst_65
fig|1733.9241.peg.10147,lst_66
fig|727.1662.peg.434,lst_67
fig|487.1936.peg.2250,lst_68
fig|1809061.3.peg.150,lst_69
fig|738.16.peg.1202,lst_70
fig|487.1648.peg.1997,lst_71
fig|485.9237.peg.1953,lst_72
fig|153493.10.peg.575,lst_73
fig|733.6.peg.1706,lst_74
fig|487.2104.peg.1924,lst_75
fig|28901.1760.peg.2617,lst_76
fig|485.6147.peg.1804,lst_77
fig|487.2488.peg.1928,lst_78
fig|58100.3.peg.110,lst_79
fig|1733.9775.peg.3867,lst_80
fig|51049.5.peg.1774,lst_81
fig|2020713.4.peg.1278,lst_82
fig|1190574.3.peg.1192,lst_83
fig|487.3815.peg.1119,lst_84
fig|487.2660.peg.1861,lst_85
fig|539.101.peg.951,lst_86
fig|75985.165.peg.16,lst_87
fig|44283.130.peg.1086,lst_88
fig|485.13660.peg.1680,lst_89
fig|1379.126.peg.1573,lst_90
fig|2731244.3.peg.616,lst_91
fig|487.4209.peg.1644,lst_92
fig|28037.1626.peg.1300,lst_93
fig|28037.1614.peg.1554,lst_94
fig|28037.1794.peg.137,lst_95
fig|1263550.156.peg.1203,lst_96
fig|1050190.7.peg.3363,lst_97
fig|165436.638.peg.190,lst_98
fig|1795832.20.peg.981,lst_99
fig|83427.338.peg.267,lst_100
fig|75985.927.peg.2012,lst_101
fig|487.4478.peg.2261,lst_102
fig|735.73.peg.833,lst_103
fig|727.4177.peg.1344,lst_104
fig|470.28758.peg.2614,lst_105
fig|562.61562.peg.1239,lst_106
fig|1145122.3.peg.1150,lst_107
fig|981367.3.peg.3860,lst_108
fig|487.2767.peg.1995,lst_109
fig|1733.4888.peg.7518,lst_110
fig|297361.3.peg.123,lst_111
fig|485.3997.peg.1975,lst_112
fig|1078775.3.peg.2417,lst_113
fig|363569.122.peg.2053,lst_114
fig|487.1868.peg.2141,lst_115
fig|75985.215.peg.2014,lst_116
fig|487.4553.peg.2206,lst_117
fig|34062.97.peg.1573,lst_118
fig|727.2979.peg.1570,lst_119
fig|727.1541.peg.1848,lst_120
fig|28037.1419.peg.193,lst_121
fig|564.257.peg.83,lst_122
fig|485.17226.peg.1674,lst_123
fig|727.1764.peg.1407,lst_124
fig|75985.572.peg.1144,lst_125
fig|747.1947.peg.522,lst_126
fig|747.2240.peg.666,lst_127
fig|738.328.peg.1581,lst_128
fig|504.137.peg.821,lst_129
fig|1906581.47.peg.130,lst_130
fig|726.460.peg.1654,lst_131
fig|502.68.peg.756,lst_132
fig|727.1689.peg.35,lst_133
fig|731.169.peg.72,lst_134
fig|1305784.4.peg.1830,lst_135
fig|747.895.peg.2056,lst_136
fig|485.9167.peg.2005,lst_137
fig|487.1625.peg.2130,lst_138
fig|485.9044.peg.2008,lst_139
fig|487.4701.peg.2176,lst_140
fig|2094731.66.peg.905,lst_141
fig|67780.179.peg.408,lst_142
fig|747.3051.peg.1019,lst_143
fig|747.3029.peg.2292,lst_144
fig|75985.1102.peg.2595,lst_145
fig|727.606.peg.357,lst_146
fig|3389040.3.peg.99,lst_147
fig|2653137.3.peg.2155,lst_148
fig|2742621.3.peg.154,lst_149
fig|2582659.3.peg.1322,lst_150
fig|727.1442.peg.396,lst_151
fig|485.6681.peg.1932,lst_152
fig|34062.30.peg.1553,lst_153
fig|696748.4.peg.2146,lst_154
fig|2770636.3.peg.1029,lst_155
fig|933269.4.peg.328,lst_156
fig|487.2394.peg.2401,lst_157
fig|28901.10997.peg.2278,lst_158
fig|487.2514.peg.2321,lst_159
fig|1304890.3.peg.55,lst_160
fig|67824.9.peg.3371,lst_161
fig|28037.1606.peg.1326,lst_162
fig|3030919.5.peg.183,lst_163
fig|208548.38.peg.1439,lst_164
fig|502.71.peg.211,lst_165
fig|316093.6.peg.484,lst_166
fig|487.2731.peg.1818,lst_167
fig|485.196.peg.991,lst_168
fig|570935.17.peg.4456,lst_169
fig|747.1938.peg.679,lst_170
fig|747.2271.peg.476,lst_171
fig|2953839.3.peg.1877,lst_172
fig|562.149352.peg.1072,lst_173
fig|731.161.peg.1540,lst_174
fig|28037.1972.peg.1220,lst_175
fig|1309795.3.peg.1847,lst_176
fig|470.27461.peg.3585,lst_177
fig|28901.881.peg.1282,lst_178
fig|1733.5658.peg.7980,lst_179
fig|67780.22.peg.3668,lst_180
fig|888728.3.peg.979,lst_181
fig|726.129.peg.1314,lst_182
fig|487.1665.peg.454,lst_183
fig|1243601.3.peg.2515,lst_184
fig|727.1658.peg.1721,lst_185
fig|1733.9235.peg.4436,lst_186
fig|1329906.3.peg.196,lst_187
fig|59201.946.peg.239,lst_188
fig|400946.6.peg.1769,lst_189
fig|34059.6.peg.1810,lst_190
fig|723.5.peg.1795,lst_191
fig|59202.13.peg.3033,lst_192
fig|485.4266.peg.1851,lst_193
fig|1773.25609.peg.4107,lst_194
fig|2582921.3.peg.984,lst_195
fig|2679995.3.peg.1572,lst_196
fig|738.332.peg.710,lst_197
fig|57743.48.peg.1449,lst_198
fig|202947.9.peg.741,lst_199
fig|747.1946.peg.692,lst_200
fig|28037.1575.peg.1235,lst_201
fig|727.1554.peg.1810,lst_202
fig|562.107228.peg.1029,lst_203
fig|3103145.9.peg.1380,lst_204
fig|562.146628.peg.1570,lst_205
fig|202947.13.peg.222,lst_206
fig|28901.18517.peg.2758,lst_207
fig|505.139.peg.519,lst_208
fig|316089.104.peg.583,lst_209
fig|85402.6.peg.677,lst_210
fig|487.4466.peg.2178,lst_211
fig|1924944.34.peg.999,lst_212
fig|729.2507.peg.281,lst_213
fig|3100349.50.peg.1942,lst_214
fig|28901.22927.peg.565,lst_215
fig|1071947.6.peg.1245,lst_216
fig|61592.4.peg.6250,lst_217
fig|28037.490.peg.1633,lst_218
fig|28037.497.peg.289,lst_219
fig|35703.87.peg.1959,lst_220
fig|485.7133.peg.2233,lst_221
fig|2577118.4.peg.390,lst_222
fig|75985.445.peg.4152,lst_223
fig|569.68.peg.2574,lst_224
fig|545.53.peg.36,lst_225
fig|487.2215.peg.1824,lst_226
fig|545.113.peg.189,lst_227
fig|731.46.peg.935,lst_228
fig|727.1718.peg.1079,lst_229
fig|485.6801.peg.1777,lst_230
fig|2582664.3.peg.607,lst_231
fig|1733.9656.peg.4331,lst_232
fig|545.191.peg.4520,lst_233
fig|487.1610.peg.2203,lst_234
fig|485.4103.peg.2151,lst_235
fig|738.164.peg.1221,lst_236
fig|1263550.6.peg.1245,lst_237
fig|487.720.peg.337,lst_238
fig|743972.3.peg.244,lst_239
fig|1773.18201.peg.4886,lst_240
fig|539.20.peg.593,lst_241
fig|28901.4324.peg.224,lst_242
fig|41976.117.peg.131,lst_243
fig|28037.1492.peg.2115,lst_244
fig|545.70.peg.594,lst_245
fig|1120981.17.peg.2408,lst_246
fig|716.79.peg.2272,lst_247
fig|28037.1689.peg.1233,lst_248
fig|28037.1613.peg.1397,lst_249
fig|1773.27284.peg.7035,lst_250
fig|545.200.peg.38,lst_251
fig|34062.166.peg.908,lst_252
fig|1343.107.peg.1673,lst_253
fig|72.18.peg.2042,lst_254
fig|28901.22744.peg.3439,lst_255
fig|727.4032.peg.825,lst_256
fig|35703.276.peg.107,lst_257
fig|727.1362.peg.241,lst_258
fig|485.5923.peg.2199,lst_259
fig|485.12831.peg.1742,lst_260
fig|726.373.peg.154,lst_261
fig|470.16228.peg.2157,lst_262
fig|1917441.9.peg.553,lst_263
fig|28037.1736.peg.1303,lst_264
fig|487.2361.peg.2334,lst_265
fig|487.2785.peg.221,lst_266
fig|738.48.peg.1719,lst_267
fig|528352.5.peg.1355,lst_268
fig|1305793.3.peg.1573,lst_269
fig|28037.100.peg.75,lst_270
fig|553217.3.peg.290,lst_271
fig|75985.495.peg.2534,lst_272
fig|487.2776.peg.1982,lst_273
fig|28901.14655.peg.3793,lst_274
fig|487.1014.peg.2429,lst_275
fig|487.631.peg.2397,lst_276
fig|726.90.peg.760,lst_277
fig|1733.9360.peg.12911,lst_278
fig|28901.11000.peg.4500,lst_279
fig|34062.150.peg.399,lst_280
fig|1343.118.peg.1928,lst_281
fig|487.4241.peg.2111,lst_282
fig|28037.1790.peg.1937,lst_283
fig|753.36.peg.556,lst_284
fig|202948.3.peg.1057,lst_285
fig|2094731.16.peg.321,lst_286
fig|489.39.peg.900,lst_287
fig|28037.1933.peg.1305,lst_288
fig|28037.1468.peg.654,lst_289
fig|1872483.4.peg.831,lst_290
fig|28037.1469.peg.1474,lst_291
fig|738.174.peg.977,lst_292
fig|727.2899.peg.1053,lst_293
fig|28901.22881.peg.2834,lst_294
